Date	Treatment	Unstained	Live	Dead	CFU_MO	CFU_MM
3/23/23	100mM	1769	2723	449	63	346
3/23/23	1M	2	9	7193	0	346
3/23/23	20mM	285	6572	194	197	346
3/23/23	40mM	1356	5987	364	132	346
3/23/23	60mM	2800	3937	318	97	346
3/23/23	80mM	2250	3144	316	71	346
3/23/23	mock	14172	90	14	346	346
3/24/23	100mM	4024	3176	328	109	433
3/24/23	1M	1	7	3514	0	433
3/24/23	20mM	517	6458	232	181	433
3/24/23	40mM	1837	5094	82	133	433
3/24/23	60mM	2950	3799	213	119	433
3/24/23	80mM	2463	2444	548	87	433
3/24/23	Mock	50	8328	350	433	433
3/28/23	100mM	1982	2172	299	91	604
3/28/23	1M	0	3	2642	0	604
3/28/23	20mM	1675	3428	245	190	604
3/28/23	40mM	2062	4665	132	141	604
3/28/23	60mM	3070	3501	293	137	604
3/28/23	80mM	2548	2865	374	95	604
3/28/23	Mock	1339	8010	329	604	604