Date	Treatment	Dilution	Dye	FSC.A	SSC.A	FSC.H	SSC.H	BL1.H	BL3.H	FSC.W	SSC.W	name
112023	0 mM	1000 x	PI	426528.5	285831.5	424294.5	279775.5	72	59	111	105	112023_dilutions_Experiment_Plate_0_1000_p.fcs
112023	0 mM	1000 x	SYTO9	423052	284128	422336	279305	443	63	110	105	112023_dilutions_Experiment_Plate_0_1000.fcs
112023	0 mM	2000 x	PI	426646.5	273713.5	425058	267905.5	72	59	110	105	112023_dilutions_Experiment_Plate_0_2000_p.fcs
112023	0 mM	2000 x	SYTO9	413516	277213	412966	271879.5	135	60	110	104	112023_dilutions_Experiment_Plate_0_2000.fcs
112023	0 mM	250 x	PI	419138	267710	417712	262574	73	62	110	104	112023_dilutions_Experiment_Plate_0_250_p.fcs
112023	0 mM	250 x	SYTO9	404796.5	271205.5	406598.5	268184	8149	242	109	104	112023_dilutions_Experiment_Plate_0_250.fcs
112023	0 mM	500 x	PI	425504	283346	423734	277523	73	60	111	105	112023_dilutions_Experiment_Plate_0_500_p.fcs
112023	0 mM	500 x	SYTO9	417593.5	280154	417908.5	275651	1213	73	110	104	112023_dilutions_Experiment_Plate_0_500.fcs
112023	10 mM	1000 x	PI	467072	305351	465082	298900	75	60	111	106	112023_dilutions_Experiment_Plate_10_1000_p.fcs
112023	10 mM	1000 x	SYTO9	474305.5	313111	469995.5	305441.5	656	66	112	106	112023_dilutions_Experiment_Plate_10_1000.fcs
112023	10 mM	2000 x	PI	459680	280566.5	455248	274711.5	75	60	112	106	112023_dilutions_Experiment_Plate_10_2000_p.fcs
112023	10 mM	2000 x	SYTO9	473096	306246	469463	298999.5	218	61	112	106	112023_dilutions_Experiment_Plate_10_2000.fcs
112023	10 mM	250 x	PI	460468.5	291342	457377.5	285029.5	74	63	112	106	112023_dilutions_Experiment_Plate_10_250_p.fcs
112023	10 mM	250 x	SYTO9	462023	315019	457748	306488	3273	123	112	106	112023_dilutions_Experiment_Plate_10_250.fcs
112023	10 mM	500 x	PI	469569.5	309894.5	465018	302400.5	75	61	112	106	112023_dilutions_Experiment_Plate_10_500_p.fcs
112023	10 mM	500 x	SYTO9	473423	316002	470204	308535	1650	82	112	106	112023_dilutions_Experiment_Plate_10_500.fcs
112023	100 mM	1000 x	PI	393521	259055	389894	253354	72	61	110	104	112023_dilutions_Experiment_Plate_100_1000_p.fcs
112023	100 mM	1000 x	SYTO9	396659.5	261267.5	395565.5	255907	4031.5	117	110	104	112023_dilutions_Experiment_Plate_100_1000.fcs
112023	100 mM	2000 x	PI	388160	267921	387936	263098	73	60	109	104	112023_dilutions_Experiment_Plate_100_2000_p.fcs
112023	100 mM	2000 x	SYTO9	396058	258661	394465	253404	1070.5	69	109	104	112023_dilutions_Experiment_Plate_100_2000.fcs
112023	100 mM	250 x	PI	374008	243293	374797	240377	72	67	108	103	112023_dilutions_Experiment_Plate_100_250_p.fcs
112023	100 mM	250 x	SYTO9	384662	258341.5	382218	253944.5	32771.5	969	109	104	112023_dilutions_Experiment_Plate_100_250.fcs
112023	100 mM	500 x	PI	389537	259853.5	388478	254997.5	72	62	109	104	112023_dilutions_Experiment_Plate_100_500_p.fcs
112023	100 mM	500 x	SYTO9	390975.5	256890.5	389142.5	251304	12097	319	110	104	112023_dilutions_Experiment_Plate_100_500.fcs
112023	1000 mM	1000 x	PI	348482.5	149810.5	351316.5	148171	66	851	107	101	112023_dilutions_Experiment_Plate_1000_1000_p.fcs
112023	1000 mM	1000 x	SYTO9	347240	146615	349787	145028.5	5825	166	107	101	112023_dilutions_Experiment_Plate_1000_1000.fcs
112023	1000 mM	2000 x	PI	350674.5	148524.5	353356	146624.5	67	1118	107	101	112023_dilutions_Experiment_Plate_1000_2000_p.fcs
112023	1000 mM	2000 x	SYTO9	345861.5	145085	348394.5	142921.5	1703	76	107	101	112023_dilutions_Experiment_Plate_1000_2000.fcs
112023	1000 mM	250 x	PI	334564	162643	336166	161045.5	66	476.5	107	101	112023_dilutions_Experiment_Plate_1000_250_p.fcs
112023	1000 mM	250 x	SYTO9	339027	152481	341961	150569	29131	873	107	101	112023_dilutions_Experiment_Plate_1000_250.fcs
112023	1000 mM	500 x	PI	344038	153361	347118.5	152144	66	607	107	101	112023_dilutions_Experiment_Plate_1000_500_p.fcs
112023	1000 mM	500 x	SYTO9	341258	148882	342794	147249	16434	457	107	101	112023_dilutions_Experiment_Plate_1000_500.fcs
112123	0 mM	1000 x	PI	411262	276573	412627	273464	72	59	109	104	112123_dilutions_Experiment_Plate_0_1000_p.fcs
112123	0 mM	1000 x	SYTO9	405949.5	270962	409416	269262.5	560	64	108	103	112123_dilutions_Experiment_Plate_0_1000.fcs
112123	0 mM	2000 x	PI	412458	277389	414071.5	274133.5	72	59	109	104	112123_dilutions_Experiment_Plate_0_2000_p.fcs
112123	0 mM	2000 x	SYTO9	405305	270322	408193	268144	182	60	108	103	112123_dilutions_Experiment_Plate_0_2000.fcs
112123	0 mM	250 x	PI	409441	275577	411519	273206	72	60	109	104	112123_dilutions_Experiment_Plate_0_250_p.fcs
112123	0 mM	250 x	SYTO9	384486	256449	388400	255691	8888	275	107	103	112123_dilutions_Experiment_Plate_0_250.fcs
112123	0 mM	500 x	PI	412317	275423	413769.5	272707.5	72	60	109	104	112123_dilutions_Experiment_Plate_0_500_p.fcs
112123	0 mM	500 x	SYTO9	396310.5	259966.5	400094.5	258438	1183	72	108	103	112123_dilutions_Experiment_Plate_0_500.fcs
112123	10 mM	1000 x	PI	504262	331176	504092	326902	77	59	112	107	112123_dilutions_Experiment_Plate_10_1000_p.fcs
112123	10 mM	1000 x	SYTO9	493733.5	326471	495679	323036.5	930	69	112	106	112123_dilutions_Experiment_Plate_10_1000.fcs
112123	10 mM	2000 x	PI	499421	326730	498747	322182	77	60	112	106	112123_dilutions_Experiment_Plate_10_2000_p.fcs
112123	10 mM	2000 x	SYTO9	500087	329027.5	501248.5	324968	295	61	112	106	112123_dilutions_Experiment_Plate_10_2000.fcs
112123	10 mM	250 x	PI	504154	334097	505136	329860	78	61	112	106	112123_dilutions_Experiment_Plate_10_250_p.fcs
112123	10 mM	250 x	SYTO9	481391	324979	480137	319594	4129	161	112	106	112123_dilutions_Experiment_Plate_10_250.fcs
112123	10 mM	500 x	PI	510624	338991	510105.5	333819	78	60	113	107	112123_dilutions_Experiment_Plate_10_500_p.fcs
112123	10 mM	500 x	SYTO9	490584	324964	490714	319484	1758	84	112	106	112123_dilutions_Experiment_Plate_10_500.fcs
112123	100 mM	1000 x	PI	388881	233981.5	389579.5	231321.5	70	61	108	103	112123_dilutions_Experiment_Plate_100_1000_p.fcs
112123	100 mM	1000 x	SYTO9	384344.5	234741.5	386983	232336	2885	95	108	103	112123_dilutions_Experiment_Plate_100_1000.fcs
112123	100 mM	2000 x	PI	387090	234271	388031	232126	70	61	108	103	112123_dilutions_Experiment_Plate_100_2000_p.fcs
112123	100 mM	2000 x	SYTO9	386339	234884	387473	232610	776	66	108	103	112123_dilutions_Experiment_Plate_100_2000.fcs
112123	100 mM	250 x	PI	382740	229863	385905	227822	70	64	108	102	112123_dilutions_Experiment_Plate_100_250_p.fcs
112123	100 mM	250 x	SYTO9	369459	228559	372454	227067	24696	729	107	102	112123_dilutions_Experiment_Plate_100_250.fcs
112123	100 mM	500 x	PI	385868	234844	386721	232562	70	63	109	103	112123_dilutions_Experiment_Plate_100_500_p.fcs
112123	100 mM	500 x	SYTO9	383281	237382	384142	234619	10392	284	108	103	112123_dilutions_Experiment_Plate_100_500.fcs
112123	1000 mM	1000 x	PI	354703.5	148003.5	358901.5	147212	67	844	107	101	112123_dilutions_Experiment_Plate_1000_1000_p.fcs
112123	1000 mM	1000 x	SYTO9	343660	149625	347698.5	148412.5	5730	167	106	100	112123_dilutions_Experiment_Plate_1000_1000.fcs
112123	1000 mM	2000 x	PI	354975	146622	359355	145849	67	1071	107	101	112123_dilutions_Experiment_Plate_1000_2000_p.fcs
112123	1000 mM	2000 x	SYTO9	351183	145795	355957	144873	2195	83	106	100	112123_dilutions_Experiment_Plate_1000_2000.fcs
112123	1000 mM	250 x	PI	342013	165977	347238	165537	67	477	106	100	112123_dilutions_Experiment_Plate_1000_250_p.fcs
112123	1000 mM	250 x	SYTO9	341648.5	145361.5	345914.5	144129.5	5730.5	200	106	100	112123_dilutions_Experiment_Plate_1000_250.fcs
112123	1000 mM	500 x	PI	351419.5	156526.5	353667	155573	66	580	107	101	112123_dilutions_Experiment_Plate_1000_500_p.fcs
112123	1000 mM	500 x	SYTO9	347826	147367	353682	146937	11509	332	106	100	112123_dilutions_Experiment_Plate_1000_500.fcs
112223	0 mM	1000 x	PI	405458.5	276528.5	405353	272094.5	71	61	108	104	112223_dilutions_Experiment_Plate_0_1000_p.fcs
112223	0 mM	1000 x	SYTO9	418458	283573	418691	278623	988	70	109	104	112223_dilutions_Experiment_Plate_0_1000.fcs
112223	0 mM	2000 x	PI	410692.5	279019	409955.5	273582.5	72	60	109	104	112223_dilutions_Experiment_Plate_0_2000_p.fcs
112223	0 mM	2000 x	SYTO9	410705	275507	411244	271205	392	62	109	103	112223_dilutions_Experiment_Plate_0_2000.fcs
112223	0 mM	250 x	PI	397709	269024	398518	264914	71	63	108	103	112223_dilutions_Experiment_Plate_0_250_p.fcs
112223	0 mM	250 x	SYTO9	389962	261673.5	391178.5	258269.5	3892.5	150	108	103	112223_dilutions_Experiment_Plate_0_250.fcs
112223	0 mM	500 x	PI	378420.5	251199	379805.5	248526	70	65	106	102	112223_dilutions_Experiment_Plate_0_500_p.fcs
112223	0 mM	500 x	SYTO9	399984	264919	400294	261406	1892	92	108	103	112223_dilutions_Experiment_Plate_0_500.fcs
112223	10 mM	1000 x	PI	497683	326111	492309	318128	76	60	112	106	112223_dilutions_Experiment_Plate_10_1000_p.fcs
112223	10 mM	1000 x	SYTO9	490628	321910.5	485445.5	313709	1233	74	112	106	112223_dilutions_Experiment_Plate_10_1000.fcs
112223	10 mM	2000 x	PI	497962	328753	492298	319617	76	60	113	106	112223_dilutions_Experiment_Plate_10_2000_p.fcs
112223	10 mM	2000 x	SYTO9	500404	329568.5	495758.5	320450	475	63	112	107	112223_dilutions_Experiment_Plate_10_2000.fcs
112223	10 mM	250 x	PI	485364	317415	481331	310062	76	61	112	106	112223_dilutions_Experiment_Plate_10_250_p.fcs
112223	10 mM	250 x	SYTO9	459866	307013	457465	300784	3374	149	110	105	112223_dilutions_Experiment_Plate_10_250.fcs
112223	10 mM	500 x	PI	482034	313938	476514	306487	75	61	112	106	112223_dilutions_Experiment_Plate_10_500_p.fcs
112223	10 mM	500 x	SYTO9	484566	317586	480765	310295	1673	84	111	106	112223_dilutions_Experiment_Plate_10_500.fcs
112223	100 mM	1000 x	PI	384664	242554	382693	237699	70	60	108	103	112223_dilutions_Experiment_Plate_100_1000_p.fcs
112223	100 mM	1000 x	SYTO9	381470	242673	380057	238190	4518	127	108	103	112223_dilutions_Experiment_Plate_100_1000.fcs
112223	100 mM	2000 x	PI	388679	242380.5	386722	237060	71	60	109	103	112223_dilutions_Experiment_Plate_100_2000_p.fcs
112223	100 mM	2000 x	SYTO9	388913	244704	386492	239560	1522	74	109	103	112223_dilutions_Experiment_Plate_100_2000.fcs
112223	100 mM	250 x	PI	386183	242329	384470	237223	71	63	109	103	112223_dilutions_Experiment_Plate_100_250_p.fcs
112223	100 mM	250 x	SYTO9	378981	251653	377108	245642	33416	1030	108	103	112223_dilutions_Experiment_Plate_100_250.fcs
112223	100 mM	500 x	PI	384585	242350	382476.5	237437	71	61	109	103	112223_dilutions_Experiment_Plate_100_500_p.fcs
112223	100 mM	500 x	SYTO9	381072.5	243830.5	379199.5	239285.5	13564	371	108	103	112223_dilutions_Experiment_Plate_100_500.fcs
112223	1000 mM	1000 x	PI	351719	150691	352215	148406	67	1167	107	101	112223_dilutions_Experiment_Plate_1000_1000_p.fcs
112223	1000 mM	1000 x	SYTO9	354355	149851	355237	147318.5	4418	131	107	101	112223_dilutions_Experiment_Plate_1000_1000.fcs
112223	1000 mM	2000 x	PI	354938	150459	355743	148269	67	1200	107	101	112223_dilutions_Experiment_Plate_1000_2000_p.fcs
112223	1000 mM	2000 x	SYTO9	349720	146315	350383	144075	1849	81	107	101	112223_dilutions_Experiment_Plate_1000_2000.fcs
112223	1000 mM	250 x	PI	352332	156814	353360	154568	67	670	107	101	112223_dilutions_Experiment_Plate_1000_250_p.fcs
112223	1000 mM	250 x	SYTO9	347750	160465	348871	157679	37958	1133	107	101	112223_dilutions_Experiment_Plate_1000_250.fcs
112223	1000 mM	500 x	PI	356255	154945.5	356001	151572	67	971	107	101	112223_dilutions_Experiment_Plate_1000_500_p.fcs
112223	1000 mM	500 x	SYTO9	351243.5	152772	352648	150389	15283.5	427	107	101	112223_dilutions_Experiment_Plate_1000_500.fcs
